URL,Restaurant_Name,Category,Item_Name,Price,Food Type,Cuisine,Area,Dining_Rating,Votes
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Match Day Combo,AB's Single Meal (Non Veg),₹399,Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Match Day Combo,AB's Single Meal (Veg),₹379,Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Match Day Combo,Biryani & Starter Bucket Combo,₹699,Veg,Indian (General),Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Match Day Combo,AB's Couple Meal (Non Veg),₹899,Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Match Day Combo,AB's Couple Meal (Veg),₹749,Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Match Day Combo,Crispy Corn Bucket,₹329,Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Match Day Combo,Grills in Bucket Combo,₹549,Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Match Day Combo,Chicken Strips Bucket,₹599,Non-Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Match Day Combo,Chicken Tikka Party Bucket,₹599,Non-Veg,North Indian,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Match Day Combo,Chicken Wings Bucket,₹499,Non-Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Match Day Combo,Chicken Tangdi Bucket,₹499,Non-Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Match Day Combo,Genie's Grill & Thrill Combo (Non-Veg),₹799,Veg,Continental,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Assorted Starter Platter,Genie's Meat Platter,₹669,Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Assorted Starter Platter,Chicken Jumbo Platter,₹599,Non-Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Assorted Starter Platter,Genie's Veg Platter,₹449,Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Assorted Starter Platter,Fantastic Five Non-Veg,₹449,Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Assorted Starter Platter,Fantastic Four Veg,₹349,Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Grills & Kebabs,Tangdi Kabab,₹369,Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Grills & Kebabs,Barbeque Prawns,₹399,Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Grills & Kebabs,Mirch Masala Paneer Tikka,₹379,Veg,North Indian,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Grills & Kebabs,Barbecue Chicken Wings,₹319,Non-Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Grills & Kebabs,Chicken Tikka,₹319,Non-Veg,North Indian,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Grills & Kebabs,Crispy Chicken Strips,₹379,Non-Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Grills & Kebabs,Crispy Fried Corn,₹229,Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Grills & Kebabs,Cajun Spice Potato,₹199,Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Grills & Kebabs,Veg Kebab,₹199,Veg,Mughlai,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Grills & Kebabs,Chicken Pops,₹219,Non-Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Grills & Kebabs,Tandoori Fish Tikka (9pcs),₹319,Non-Veg,North Indian,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Combo Meals & Thali,Butter Chicken & Chicken Biryani Combo,₹369,Non-Veg,Indian (General),Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Combo Meals & Thali,Paneer Butter Masala & Veg Biryani & Dessert Combo,₹309,Veg,Desserts,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Combo Meals & Thali,Kebab & Biryani Combo- Chicken,₹349,Non-Veg,Mughlai,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Combo Meals & Thali,Kebab(s) & Biryani Combo - Non Veg,₹369,Veg,Mughlai,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Combo Meals & Thali,Kebab(s) & Biryani Combo - Veg,₹319,Veg,Mughlai,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Combo Meals & Thali,Butter Chicken & Jeera Rice Combo,₹349,Non-Veg,Other,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Combo Meals & Thali,Veg Biryani & Paneer Tikka Combo,₹279,Veg,North Indian,Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Combo Meals & Thali,Egg Curry & Jeera Rice Combo,₹229,Non-Veg,Indian (General),Hinjawadi,,
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/order,AB's - Absolute Barbecues,Combo Meals & Thali,Non-Veg Premium Thali,₹369,Veg,Indian (General),Hinjawadi,,
